|company_code1|company_code2|cst_no|open_time|close_time|acc_name|address|operate|set_file|license|id_deadline|org_no|tax_no|rep_name|id_type2|id_no2|id_deadline2|man_name|id_type3|id_no3|id_deadline3|ope_name|id_type4|id_no4|id_deadline4|industry_code|industry|reg_amt|code|sys_name|etl_date
0|33640000|@N|8000000040|20190620||测试数据001|中国甘肃省金昌市永昌县213123||21||||||||||||||||||||||
1|33640000|@N|8000000627|20181210||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
2|33640000|@N|8000000627|20181210||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
3|33640000|@N|8000000627|20181210||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
4|33640000|@N|8000000627|20181210||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
5|33640000|@N|8000000627|20181210||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
6|33640000|@N|8000000627|20181211||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
7|33640000|@N|8000000627|20181211||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
8|33640000|@N|8000000627|20181211||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
9|33640000|@N|8000000627|20181211||浙分-测试|中国北京市东城区110|4123|21|||||4123|01|412342199009097878|20221231|总机构|01|412342199009097878|20221231|||||G5441|||||
10|33640000|@N|8000000627|20181213||浙分-测试|中国北京市东城区110||21||||||||||||||||||||||
11|33640000|@N|8000000627|20181214||浙分-测试|中国北京市东城区110||21||||||||||||||||||||||
12|33640000|@N|8000000627|20181214||浙分-测试|中国北京市东城区110||21||||||||||||||||||||||
