|company_code1|company_code2|company_code3|app_name|app_cst_no|app_id_no|risk_code|div_date|score|norm|etl_date
0||||许露露|8000000616|84750937490509|06||||
1||||许露露|8000000616|84750937490509|06||||
2||||许露露|8000000616|84750937490509|06||||
3||||许露露|8000000616|84750937490509|06||||
4||||许露露|8000000616|84750937490509|06||||
5||||许露露|8000000616|84750937490509|06||||
6||||许露露|8000000616|84750937490509|06||||
7||||许露露|8000000616|84750937490509|06||||
8||||许露露|8000000616|84750937490509|06||||
9||||许露露|8000000616|84750937490509|06||||
10||||许露露|8000000616|84750937490509|06||||
11||||许露露|8000000616|84750937490509|06||||
12||||许露露|8000000616|84750937490509|06||||
13||||许露露|8000000616|84750937490509|06||||
14||||许露露|8000000616|84750937490509|06||||
15||||许露露|8000000616|84750937490509|06||||
16||||许露露|8000000616|84750937490509|06||||
17||||许露露|8000000616|84750937490509|06||||
18||||许露露|8000000616|84750937490509|06||||
19||||许露露|8000000616|84750937490509|06||||
20||||许露露|8000000616|84750937490509|06||||
21||||许露露|8000000616|84750937490509|06||||
22||||许露露|8000000616|84750937490509|06||||
23||||许露露|8000000616|84750937490509|06||||
24||||许露露|8000000616|84750937490509|06||||
25||||许露露|8000000616|84750937490509|06||||
26||||魏无羡|8000000420|431514514|06||||
27||||魏无羡|8000000420|431514514|06||||
28||||魏无羡|8000000420|431514514|06||||
29||||测试数据001|8000000040|11111111111111111111|05||||
30||||许露露|8000000620|89650897905790|06||||
31||||许露露|8000000620|89650897905790|06||||
32||||许露露|8000000620|89650897905790|06||||
33||||许露露|8000000621|8797907|06||||
34||||许露露|8000000622|893750347905|06||||
35||||许露露|8000000620|89650897905790|06||||
36||||许露露|8000000620|89650897905790|06||||
37||||许露露|8000000620|89650897905790|06||||
38||||许露露|8000000620|89650897905790|06||||
39||||许露露|8000000620|89650897905790|06||||
40||||许露露|8000000621|8797907|06||||
41||||许露露|8000000621|8797907|06||||
42||||许露露|8000000621|8797907|06||||
43||||许露露|8000000621|8797907|06||||
44||||许露露|8000000621|8797907|06||||
45||||许露露|8000000620|89650897905790|06||||
46||||许露露|8000000620|89650897905790|06||||
47||||许露露|8000000620|89650897905790|06||||
48||||许露露|8000000621|8797907|06||||
49||||许露露|8000000621|8797907|06||||
50||||许露露|8000000620|89650897905790|06||||
51||||许露露|8000000625|485684037590309|05||||
52||||许露露|8000000625|485684037590309|05||||
53||||许露露|8000000625|485684037590309|05||||
54||||许露露|8000000625|485684037590309|05||||
55||||许露露|8000000625|485684037590309|05||||
56||||许露露|8000000625|485684037590309|05||||
57||||许露露|8000000625|485684037590309|05||||
58||||许露露|8000000625|485684037590309|05||||
59||||许露露|8000000625|485684037590309|05||||
60||||许露露|8000000625|485684037590309|05||||
61||||许露露|8000000625|485684037590309|05||||
62||||许露露|8000000625|485684037590309|05||||
63||||许露露|8000000625|485684037590309|05||||
64||||许露露|8000000625|485684037590309|05||||
65||||许露露|8000000625|485684037590309|05||||
66||||许露露|8000000625|485684037590309|05||||
67||||许露露|8000000625|485684037590309|05||||
68||||许露露|8000000625|485684037590309|05||||
