|company_code1|company_code2|cst_no|open_time|close_time|acc_name|cst_sex|nation|id_type|id_no|id_deadline|occupation_code|occupation|income|contact1|contact2|contact3|address1|address2|address3|company|sys_name|etl_date
0|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
1|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
2|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
3|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
4|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
5|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
6|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
7|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
8|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
9|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
10|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
11|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
12|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
13|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
14|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
15|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
16|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
17|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
18|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
19|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
20|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
21|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
22|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
23|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
24|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
25|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
26|33640000|@N|8000000616|20181206||许露露|2|1|02|84750937490509|||@N|-9999.0|13781118388|||中国福建省龙岩市新罗区测试|@N|@N|||
